Situation familiale;Sexe du membre;Nombre de 2rm conduits par le membre;Nombre d'enfants à charge;Département d'habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;1;0;75;Moins de 30 ans;2015;1000;Trail / Supermotard;Employé;False
En couple avec enfant(s);Homme;2;2;12;40-49 ans;2006;1200;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;1;51;60-69 ans;2003;1200;Roadster;Retraité;True
Seul(e) sans enfant;Homme;2;0;76;30-39 ans;1985;125;Custom;Cadre;False
En couple avec enfant(s);Homme;4;2;92;50-59 ans;2018;750;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;2;33;50-59 ans;2009;1200;Routière / GT;Employé;True
Seul(e) sans enfant;Homme;1;0;69;50-59 ans;2005;1800;Routière / GT;Cadre;False
En couple sans enfant;Homme;2;0;44;70 et plus;2013;125;Roadster;Retraité;False
Seul(e) avec enfants;Homme;2;1;34;60-69 ans;2011;800;Roadster;Retraité;False
Seul(e) sans enfant;Homme;1;0;28;30-39 ans;2007;1300;Routière / GT;Employé;False
En couple sans enfant;Homme;1;0;88;60-69 ans;1999;1100;Routière / GT;Artisan, commerçant assimilé;True
En couple sans enfant;Homme;1;0;91;60-69 ans;2013;1300;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;1;10;40-49 ans;2017;1290;Roadster;Ouvrier;False
En couple avec enfant(s);Homme;2;1;89;40-49 ans;1997;750;Routière / GT;Employé;False
En couple avec enfant(s);Homme;2;1;64;50-59 ans;2004;750;Roadster;Employé;True
Seul(e) sans enfant;Homme;1;0;38;Moins de 30 ans;2018;850;Roadster;Employé;False
Autre;Femme;1;0;25;Moins de 30 ans;2015;821;Roadster;En recherche d'emploi;False
En couple sans enfant;Homme;2;0;6;60-69 ans;2009;125;Scooter;Retraité;False
Seul(e) sans enfant;Homme;1;0;28;50-59 ans;2013;50;Scooter;Employé;False
En couple avec enfant(s);Homme;3;2;42;40-49 ans;2009;1200;Trail / Supermotard;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;2;0;42;40-49 ans;2014;1200;Trail / Supermotard;Employé;False
Seul(e) sans enfant;Homme;3;0;2;50-59 ans;2009;1200;Trail / Supermotard;Ouvrier;False
En couple sans enfant;Homme;4;0;33;40-49 ans;2011;800;Routière / GT;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;1;38;30-39 ans;2010;650;Roadster;Ouvrier;True
En couple avec enfant(s);Homme;1;2;5;50-59 ans;1989;1400;Custom;Employé;False
En couple avec enfant(s);Homme;3;2;92;40-49 ans;2016;1200;Roadster;Employé;True
En couple avec enfant(s);Homme;1;2;1;50-59 ans;2011;800;Roadster;Cadre;False
En couple avec enfant(s);Homme;3;1;88;50-59 ans;2004;1200;Trail / Supermotard;Cadre;True
En couple sans enfant;Homme;5;0;32;50-59 ans;2002;1300;Routière / GT;Agriculteur exploitant;False
En couple avec enfant(s);Homme;1;2;95;30-39 ans;2010;300;Scooter;Cadre;False
En couple sans enfant;Homme;2;0;38;50-59 ans;2001;1000;Sportive;Cadre;False
En couple sans enfant;Homme;3;0;93;40-49 ans;2010;1000;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;33;50-59 ans;2015;1400;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;1;21;40-49 ans;2012;1200;Roadster;Cadre;False
Seul(e) avec enfants;Homme;3;2;24;60-69 ans;2009;750;Side-car / Trike;Retraité;False
En couple avec enfant(s);Homme;1;1;84;40-49 ans;2003;600;Tout terrain (Trial,  Enduro, Cross);Ouvrier;False
En couple avec enfant(s);Homme;1;1;6;50-59 ans;2010;660;Trail / Supermotard;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;69;60-69 ans;2014;1000;Roadster;Profession libérale et artistique;False
En couple avec enfant(s);Homme;2;3;54;40-49 ans;2016;700;Roadster;Employé;False
En couple avec enfant(s);Homme;1;2;31;60-69 ans;2019;750;Custom;Retraité;False
En couple avec enfant(s);Homme;2;2;59;30-39 ans;2008;1000;Roadster;Cadre;False
Seul(e) sans enfant;Homme;2;0;75;60-69 ans;2010;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;75;30-39 ans;2009;1200;Roadster;Profession intermédiaire;False
En couple sans enfant;Femme;2;0;35;30-39 ans;2009;600;Roadster;Employé;False
En couple sans enfant;Homme;1;0;22;50-59 ans;2012;1250;Routière / GT;Ouvrier;False
En couple avec enfant(s);Femme;1;2;33;40-49 ans;2015;700;Roadster;Employé;False
En couple sans enfant;Homme;1;0;33;50-59 ans;2012;1200;Trail / Supermotard;Profession intermédiaire;True
En couple avec enfant(s);Homme;3;1;18;50-59 ans;2006;1200;Routière / GT;Artisan, commerçant assimilé;False
Seul(e) sans enfant;Homme;2;0;13;30-39 ans;1996;850;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;29;60-69 ans;2017;1200;Trail / Supermotard;Retraité;False
En couple avec enfant(s);Femme;2;2;69;50-59 ans;2007;600;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;92;40-49 ans;2013;800;Roadster;Cadre;False
Seul(e) sans enfant;Homme;1;0;80;30-39 ans;1986;750;Routière / GT;Employé;False
En couple sans enfant;Homme;5;0;26;60-69 ans;2011;1000;Roadster;Retraité;False
En couple sans enfant;Homme;4;0;71;50-59 ans;2018;1000;Trail / Supermotard;Employé;False
En couple avec enfant(s);Homme;2;2;38;50-59 ans;2000;1300;Roadster;Cadre;False
Seul(e) sans enfant;Homme;2;0;28;30-39 ans;2008;675;Sportive;Ouvrier;False
Seul(e) avec enfants;Homme;4;2;26;50-59 ans;2003;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;84;50-59 ans;2016;650;Trail / Supermotard;Ouvrier;False
En couple avec enfant(s);Homme;2;2;91;50-59 ans;2015;1000;Routière / GT;Cadre;False
En couple sans enfant;Homme;6;0;26;30-39 ans;1977;650;Roadster;Employé;False
En couple avec enfant(s);Homme;1;2;75;50-59 ans;2007;750;Scooter;Cadre;True
Seul(e) avec enfants;Femme;3;2;85;50-59 ans;2000;1200;Roadster;Employé;False
En couple avec enfant(s);Homme;2;2;33;40-49 ans;2016;1200;Trail / Supermotard;Employé;False
En couple avec enfant(s);Homme;1;3;63;50-59 ans;2001;1000;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;34;50-59 ans;2003;1000;Roadster;Cadre;False
Seul(e) sans enfant;Homme;4;0;17;60-69 ans;1978;1000;Routière / GT;Retraité;False
En couple sans enfant;Homme;4;0;34;60-69 ans;1962;50;Roadster;Cadre;False
Seul(e) sans enfant;Homme;1;0;62;30-39 ans;2001;500;Roadster;Employé;False
En couple sans enfant;Homme;1;0;25;40-49 ans;2002;650;Roadster;Cadre;False
Seul(e) sans enfant;Homme;6;0;60;60-69 ans;2017;850;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;1;95;50-59 ans;2008;650;Roadster;Profession intermédiaire;False
Seul(e) sans enfant;Femme;2;0;24;50-59 ans;2014;800;Roadster;Employé;False
En couple avec enfant(s);Homme;2;1;6;50-59 ans;2005;600;Roadster;Employé;False
Autre;Homme;2;0;42;30-39 ans;2010;650;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;60;60-69 ans;2016;1200;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;2;0;97;40-49 ans;2017;530;Scooter;En recherche d'emploi;False
En couple avec enfant(s);Homme;1;1;72;40-49 ans;2009;1000;Roadster;Cadre;True
En couple sans enfant;Homme;1;0;75;50-59 ans;1994;750;Roadster;Retraité;False
En couple avec enfant(s);Homme;6;1;88;50-59 ans;2013;1200;Roadster;Employé;False
En couple avec enfant(s);Homme;2;3;13;40-49 ans;1998;600;Roadster;Cadre;False
Autre;Homme;5;0;17;70 et plus;1981;600;Trail / Supermotard;Retraité;False
En couple avec enfant(s);Homme;2;2;60;40-49 ans;1990;1000;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;78;40-49 ans;2007;650;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;6;30-39 ans;2014;1000;Routière / GT;Cadre;False
Seul(e) sans enfant;Femme;1;0;87;30-39 ans;2005;500;Roadster;Profession libérale et artistique;False
En couple avec enfant(s);Homme;1;1;38;50-59 ans;1995;1200;Roadster;Profession intermédiaire;True
En couple sans enfant;Homme;4;0;74;50-59 ans;2011;1400;Routière / GT;Employé;False
En couple avec enfant(s);Homme;3;2;77;40-49 ans;2007;600;Roadster;Employé;True
En couple avec enfant(s);Homme;7;1;39;50-59 ans;2010;1200;Trail / Supermotard;Profession libérale et artistique;False
En couple avec enfant(s);Homme;1;2;13;50-59 ans;2007;1200;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;59;50-59 ans;2019;1260;Roadster;Cadre;True
En couple avec enfant(s);Homme;4;1;31;50-59 ans;2016;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;3;32;50-59 ans;2002;900;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;93;40-49 ans;2014;125;Scooter;Cadre;False
En couple avec enfant(s);Homme;1;2;69;30-39 ans;2019;900;Trail / Supermotard;Cadre;False
Autre;Femme;3;0;91;60-69 ans;2019;821;Roadster;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;4;33;50-59 ans;2013;700;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;91;70 et plus;1993;750;Routière / GT;Retraité;False
En couple sans enfant;Homme;2;0;78;70 et plus;2005;1200;Routière / GT;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;3;2;26;50-59 ans;2006;1000;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;57;30-39 ans;1997;750;Custom;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;1;3;66;40-49 ans;2006;125;Roadster;Employé;False
Seul(e) sans enfant;Homme;2;0;33;30-39 ans;2006;1000;Sportive;Employé;False
En couple avec enfant(s);Homme;1;1;27;50-59 ans;2004;1000;Sportive;Employé;False
En couple avec enfant(s);Homme;1;3;69;40-49 ans;2019;1200;Trail / Supermotard;Etudiant;False
En couple sans enfant;Homme;1;0;14;50-59 ans;1994;1000;Roadster;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;2;2;79;40-49 ans;1984;500;Sportive;Cadre;False
En couple sans enfant;Homme;5;0;1;60-69 ans;2007;900;Trail / Supermotard;Retraité;False
Seul(e) sans enfant;Homme;1;0;57;40-49 ans;2018;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;2;83;40-49 ans;2018;1200;Roadster;Profession libérale et artistique;True
En couple avec enfant(s);Homme;2;3;1;40-49 ans;2005;1200;Trail / Supermotard;Cadre;True
En couple avec enfant(s);Homme;1;1;82;60-69 ans;2010;1200;Roadster;Retraité;False
En couple avec enfant(s);Homme;3;2;71;60-69 ans;1996;1000;Routière / GT;Retraité;True
En couple avec enfant(s);Homme;3;1;69;50-59 ans;2012;700;Roadster;Employé;True
En couple avec enfant(s);Homme;1;1;24;30-39 ans;2005;1000;Roadster;Employé;False
En couple avec enfant(s);Femme;1;2;43;50-59 ans;2016;850;Roadster;Autre sans activité professionnelle (personne au foyer...);False
En couple sans enfant;Homme;4;0;27;60-69 ans;2005;1200;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;3;1;94;50-59 ans;2017;1200;Trail / Supermotard;Artisan, commerçant assimilé;True
En couple sans enfant;Homme;2;0;91;50-59 ans;1979;1300;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;3;2;50;50-59 ans;1993;1500;Routière / GT;Profession intermédiaire;False
En couple avec enfant(s);Homme;2;2;93;50-59 ans;2015;650;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;59;30-39 ans;2011;600;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;33;40-49 ans;1995;1000;Routière / GT;Employé;False
En couple avec enfant(s);Homme;1;2;93;40-49 ans;2003;650;Routière / GT;Employé;False
En couple sans enfant;Homme;1;0;34;60-69 ans;2010;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;3;0;32;60-69 ans;2002;944;Routière / GT;Retraité;False
En couple sans enfant;Homme;3;0;44;60-69 ans;2014;1800;Custom;Cadre;False
En couple avec enfant(s);Homme;3;1;40;60-69 ans;2013;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;2;0;12;60-69 ans;2006;700;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;47;30-39 ans;2014;950;Custom;Employé;False
Seul(e) sans enfant;Homme;2;0;69;40-49 ans;1991;750;Sportive;Employé;False
En couple sans enfant;Homme;1;0;29;50-59 ans;2012;1200;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;1;1;37;50-59 ans;1996;900;Tout terrain (Trial,  Enduro, Cross);Employé;True
En couple avec enfant(s);Homme;10;1;54;60-69 ans;2012;1200;Routière / GT;Profession libérale et artistique;False
Seul(e) sans enfant;Homme;1;0;66;50-59 ans;2019;1000;Roadster;Employé;False
En couple sans enfant;Homme;1;0;73;60-69 ans;2005;1200;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;69;50-59 ans;2010;300;Scooter;Employé;False
En couple sans enfant;Homme;1;0;86;60-69 ans;2004;1800;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;1;93;60-69 ans;2006;900;Custom;Profession intermédiaire;False
En couple sans enfant;Homme;10;0;31;60-69 ans;1990;1000;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;2;87;40-49 ans;2007;1200;Trail / Supermotard;Employé;False
Seul(e) sans enfant;Homme;1;0;91;40-49 ans;2002;1000;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;38;50-59 ans;1998;1200;Routière / GT;Employé;False
En couple sans enfant;Homme;2;0;44;50-59 ans;1986;125;Scooter;Cadre;False
En couple avec enfant(s);Homme;1;3;94;50-59 ans;2006;1200;Roadster;Artisan, commerçant assimilé;True
En couple sans enfant;Homme;1;0;33;60-69 ans;2011;1000;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;2;0;95;40-49 ans;1998;900;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;2;2;64;40-49 ans;2009;675;Roadster;Ouvrier;False
Seul(e) sans enfant;Femme;1;0;31;50-59 ans;2016;650;Scooter;Profession intermédiaire;True
Seul(e) sans enfant;Homme;1;0;67;30-39 ans;2010;750;Sportive;Employé;False
Seul(e) avec enfants;Femme;2;1;54;60-69 ans;2004;650;Sportive;Artisan, commerçant assimilé;False
Seul(e) sans enfant;Homme;14;0;91;Moins de 30 ans;2006;125;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;21;60-69 ans;2012;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;0;0;83;60-69 ans;2002;1000;Trail / Supermotard;Retraité;True
En couple avec enfant(s);Homme;3;2;17;50-59 ans;2012;1199;Sportive;Profession libérale et artistique;True
En couple sans enfant;Homme;2;0;40;50-59 ans;2015;1200;Trail / Supermotard;Profession libérale et artistique;False
Seul(e) sans enfant;Homme;1;0;67;60-69 ans;2003;1800;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;2;0;4;40-49 ans;1986;1000;Custom;Autre sans activité professionnelle (personne au foyer...);False
En couple sans enfant;Homme;2;0;69;70 et plus;2006;125;Scooter;Retraité;False
En couple avec enfant(s);Homme;1;1;69;50-59 ans;2017;750;Scooter;Cadre;True
En couple avec enfant(s);Homme;1;2;14;40-49 ans;2013;675;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;38;40-49 ans;2009;125;Scooter;Cadre;False
En couple sans enfant;Homme;2;0;36;50-59 ans;2011;800;Roadster;Profession intermédiaire;False
En couple avec enfant(s);Homme;2;2;91;60-69 ans;2010;2300;Custom;Cadre;False
En couple sans enfant;Femme;2;0;31;30-39 ans;2004;600;Roadster;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;1;16;60-69 ans;2009;1200;Roadster;Retraité;False
En couple sans enfant;Homme;1;0;38;60-69 ans;2016;1600;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;21;60-69 ans;2018;1200;Trail / Supermotard;Retraité;False
Seul(e) sans enfant;Homme;1;0;75;50-59 ans;2019;850;;Chef d'entreprise de 10 salariés ou plus;False
En couple sans enfant;Homme;1;0;80;60-69 ans;2017;1300;Routière / GT;Retraité;False
Autre;Homme;2;0;95;30-39 ans;2010;800;Roadster;Ouvrier;False
Seul(e) sans enfant;Homme;6;0;22;60-69 ans;1980;850;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;3;1;63;50-59 ans;2000;900;Roadster;Employé;False
Seul(e) sans enfant;Homme;4;0;13;50-59 ans;2004;650;Roadster;Cadre;False
En couple sans enfant;Femme;1;0;33;Moins de 30 ans;1991;600;Sportive;Employé;False
Autre;Homme;2;0;33;40-49 ans;1999;600;Roadster;En recherche d'emploi;False
Seul(e) sans enfant;Homme;1;0;6;60-69 ans;2019;500;Roadster;Retraité;True
En couple avec enfant(s);Homme;4;1;63;30-39 ans;2001;600;Sportive;Employé;False
En couple sans enfant;Homme;2;0;31;60-69 ans;2007;1200;Routière / GT;Profession libérale et artistique;True
Seul(e) sans enfant;Homme;2;0;32;30-39 ans;2008;1000;Sportive;Employé;True
En couple avec enfant(s);Homme;1;1;34;60-69 ans;2017;1000;Roadster;Profession intermédiaire;False
Seul(e) sans enfant;Femme;2;0;93;30-39 ans;2009;125;Scooter;Employé;False
En couple sans enfant;Homme;4;0;66;60-69 ans;1999;900;Roadster;Retraité;False
En couple sans enfant;Homme;2;0;70;60-69 ans;2008;1100;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;1;75;50-59 ans;2009;1200;Trail / Supermotard;Cadre;False
Seul(e) sans enfant;Homme;2;0;38;60-69 ans;2005;250;Tout terrain (Trial,  Enduro, Cross);Retraité;False
En couple avec enfant(s);Homme;1;3;67;50-59 ans;2010;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;3;91;50-59 ans;1996;1100;Roadster;Employé;False
En couple avec enfant(s);Homme;4;2;6;50-59 ans;1999;1000;Trail / Supermotard;Cadre;False
En couple sans enfant;Homme;2;0;26;50-59 ans;2008;700;Routière / GT;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;52;60-69 ans;2006;900;Roadster;Retraité;False
En couple avec enfant(s);Homme;4;2;33;40-49 ans;2004;1000;Routière / GT;Cadre;True
Seul(e) avec enfants;Homme;2;2;59;50-59 ans;2017;1200;Roadster;Cadre;False
En couple avec enfant(s);Femme;2;4;4;50-59 ans;2013;650;Roadster;Employé;False
En couple avec enfant(s);Homme;2;1;11;50-59 ans;2019;1000;Roadster;Employé;True
En couple avec enfant(s);Homme;2;3;75;50-59 ans;2010;1200;Trail / Supermotard;Profession libérale et artistique;False
En couple sans enfant;Homme;1;0;44;50-59 ans;2012;1200;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;1;59;30-39 ans;2003;600;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;42;60-69 ans;1996;1200;Roadster;Retraité;False
En couple sans enfant;Homme;1;0;59;60-69 ans;2011;1800;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;75;60-69 ans;2012;750;Scooter;Cadre;False
En couple avec enfant(s);Homme;3;2;69;50-59 ans;1995;900;Routière / GT;Cadre;False
En couple sans enfant;Homme;2;0;42;60-69 ans;2009;1300;Routière / GT;Retraité;True
En couple sans enfant;Homme;1;0;34;50-59 ans;2004;500;Roadster;Employé;False
Seul(e) sans enfant;Femme;1;0;51;50-59 ans;2012;690;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;44;30-39 ans;2019;1250;Trail / Supermotard;Cadre;False
Seul(e) sans enfant;Homme;2;0;75;50-59 ans;2007;800;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;1;92;50-59 ans;2000;850;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;80;40-49 ans;2004;1000;Sportive;Employé;False
Seul(e) sans enfant;Homme;1;0;85;50-59 ans;2014;650;Roadster;Cadre;False
En couple sans enfant;Homme;5;0;76;60-69 ans;2005;1200;Trail / Supermotard;Cadre;True
En couple sans enfant;Homme;2;0;13;60-69 ans;2016;1000;Trail / Supermotard;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;59;60-69 ans;2013;1200;Roadster;Retraité;False
En couple avec enfant(s);Femme;2;1;6;30-39 ans;2019;650;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;21;30-39 ans;1997;500;Roadster;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;1;1;21;50-59 ans;2011;1050;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;3;69;60-69 ans;1999;750;Trail / Supermotard;Cadre;False
Seul(e) sans enfant;Homme;1;0;91;50-59 ans;2016;900;Roadster;Employé;False
En couple avec enfant(s);Homme;2;1;63;40-49 ans;2012;1250;Roadster;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;0;69;30-39 ans;2001;650;Routière / GT;Employé;False
En couple avec enfant(s);Homme;2;1;54;50-59 ans;1991;1100;Sportive;Ouvrier;True
En couple avec enfant(s);Homme;1;2;34;50-59 ans;2011;1000;Roadster;Cadre;False
Seul(e) sans enfant;Homme;1;0;89;60-69 ans;2010;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;49;40-49 ans;1998;125;Trail / Supermotard;Profession libérale et artistique;False
Seul(e) avec enfants;Homme;1;1;13;50-59 ans;2008;700;Trail / Supermotard;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;2;2;75;30-39 ans;2000;400;Trail / Supermotard;Chef d'entreprise de 10 salariés ou plus;False
En couple avec enfant(s);Homme;2;3;35;40-49 ans;2005;650;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;2;81;50-59 ans;2008;1200;Routière / GT;Profession intermédiaire;False
En couple sans enfant;Homme;2;0;95;50-59 ans;2002;1800;Routière / GT;Autre sans activité professionnelle (personne au foyer...);False
En couple avec enfant(s);Homme;1;1;97;40-49 ans;2016;750;Scooter;Cadre;False
En couple avec enfant(s);Homme;2;2;17;60-69 ans;2006;1200;Trail / Supermotard;Retraité;False
Seul(e) avec enfants;Femme;1;2;54;30-39 ans;1995;500;Roadster;Employé;True
Seul(e) sans enfant;Homme;1;0;30;70 et plus;2012;800;Roadster;Retraité;False
En couple sans enfant;Homme;1;0;6;50-59 ans;1999;750;Roadster;Autre sans activité professionnelle (personne au foyer...);False
Seul(e) avec enfants;Homme;3;2;77;50-59 ans;2009;1200;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;74;40-49 ans;2004;1200;Trail / Supermotard;Employé;False
En couple avec enfant(s);Homme;1;1;69;50-59 ans;1999;1000;Trail / Supermotard;Ouvrier;False
En couple sans enfant;Homme;2;0;14;60-69 ans;1996;900;Routière / GT;Retraité;False
En couple avec enfant(s);Femme;1;2;44;50-59 ans;2004;883;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;83;40-49 ans;2018;1100;Sportive;Employé;False
En couple avec enfant(s);Homme;1;2;77;40-49 ans;2008;1200;Roadster;Cadre;False
Seul(e) sans enfant;Homme;1;0;74;60-69 ans;2017;1090;Roadster;Retraité;False
Seul(e) sans enfant;Homme;1;0;78;40-49 ans;1994;500;Roadster;Profession libérale et artistique;False
En couple sans enfant;Homme;1;0;95;60-69 ans;2016;1200;Trail / Supermotard;Cadre;False
En couple sans enfant;Homme;1;0;17;60-69 ans;1999;1100;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;75;Moins de 30 ans;2003;1000;Routière / GT;Profession libérale et artistique;False
En couple sans enfant;Homme;4;0;78;60-69 ans;2007;1300;Routière / GT;Artisan, commerçant assimilé;False
Seul(e) sans enfant;Homme;4;0;91;50-59 ans;2007;1300;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;27;50-59 ans;2016;1200;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;4;13;50-59 ans;2002;1150;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;1;0;59;50-59 ans;2008;700;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;2;68;40-49 ans;1996;750;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;75;50-59 ans;2008;500;Scooter;Cadre;False
En couple avec enfant(s);Homme;1;2;45;30-39 ans;2002;916;Roadster;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;93;60-69 ans;2016;125;Roadster;Retraité;False
En couple sans enfant;Homme;1;0;67;60-69 ans;1994;1000;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;3;34;50-59 ans;2016;650;Roadster;Employé;False
En couple sans enfant;Homme;1;0;89;60-69 ans;2017;1400;Roadster;Retraité;False
En couple sans enfant;Homme;4;0;73;40-49 ans;2004;800;Roadster;Employé;False
En couple sans enfant;Homme;1;0;27;40-49 ans;2018;1200;Roadster;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;69;60-69 ans;2016;1200;Roadster;Retraité;False
En couple sans enfant;Homme;3;0;38;Moins de 30 ans;2013;821;Trail / Supermotard;Profession intermédiaire;False
En couple sans enfant;Homme;4;0;26;60-69 ans;2006;1100;Roadster;Cadre;False
Seul(e) sans enfant;Homme;3;0;29;40-49 ans;1995;900;Roadster;En recherche d'emploi;False
En couple sans enfant;Homme;1;0;30;60-69 ans;2010;1200;Trail / Supermotard;Chef d'entreprise de 10 salariés ou plus;False
En couple avec enfant(s);Homme;1;3;28;40-49 ans;2017;1100;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;44;60-69 ans;2017;1200;Routière / GT;Profession libérale et artistique;True
Seul(e) avec enfants;Homme;3;1;44;40-49 ans;2002;1100;Routière / GT;Cadre;True
En couple sans enfant;Homme;1;0;60;70 et plus;2015;700;Roadster;Retraité;False
En couple sans enfant;Homme;3;0;30;60-69 ans;1989;650;Trail / Supermotard;Retraité;False
En couple avec enfant(s);Homme;1;2;31;50-59 ans;2016;600;Scooter;Profession intermédiaire;False
Seul(e) avec enfants;Homme;1;2;92;50-59 ans;1998;800;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;2;2;31;50-59 ans;2009;650;Sportive;Cadre;False
Seul(e) sans enfant;Homme;2;0;36;Moins de 30 ans;2016;1290;Roadster;Ouvrier;False
En couple sans enfant;Homme;1;0;60;60-69 ans;2000;125;Custom;Retraité;False
En couple sans enfant;Homme;2;0;33;60-69 ans;2004;1000;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;2;74;30-39 ans;2012;650;Roadster;Employé;False
En couple sans enfant;Homme;1;0;94;40-49 ans;2014;1300;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;1;91;50-59 ans;2012;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;5;1;54;60-69 ans;2018;900;Roadster;Cadre;False
En couple sans enfant;Homme;6;0;76;60-69 ans;2009;1200;Routière / GT;Profession libérale et artistique;False
En couple sans enfant;Homme;2;0;49;30-39 ans;2009;675;Roadster;Employé;False
En couple sans enfant;Homme;2;0;31;40-49 ans;2016;1200;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;1;0;78;70 et plus;2015;800;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;31;50-59 ans;2011;990;Trail / Supermotard;Employé;True
En couple sans enfant;Homme;1;0;94;60-69 ans;2013;1200;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;4;1;75;40-49 ans;1974;125;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;2;38;50-59 ans;2006;2300;Custom;Employé;False
