Civilité du membre;Profession du membre;Secteur du 2RM;Statut de la qualification;Sociétaire;Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre d enfants à charge;Département d habitation en France;Age du membre;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence d utilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
1;Chef de Projets informatique;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;75;60;60-69 ans;2019;MAAF;1250;Tous les jours;8000;BMW;Routière / GT;Garage collectif;Pour les trajets domicile travail;?;Chef de Projets informatique;Cadre;False
1;Chef de Projets;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;2;2;6;54;50-59 ans;2005;MACIF;1200;Tous les jours;8000;BMW;Trail / Supermotard;Parking privé non clos;Pour les trajets domicile travail;150;Chef de Projets;Cadre;False
1;expert telecom;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;3;1;74;61;60-69 ans;2015;MACIF;800;Quelques fois par semaine;6000;DUCATI;Roadster;Parking privé non clos;Pour les loisirs;500;expert telecom;Cadre;False
1;Responsable outils digitaux;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;1;1;33;49;40-49 ans;2019;ASSURANCE CREDIT MUTUEL (ACM);650;Quelques fois par mois;3000;ROYAL ENFIELD;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Responsable outils digitaux;Cadre;True
1;Inspecteur d académie;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;30;67;60-69 ans;2017;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;7000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;500;Retraité;Retraité;False
1;opérateur en micro électroniqu;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;13;48;40-49 ans;2015;AMV (ASSURANCE MOTO VERTE);1000;Quelques fois par mois;800;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;200;opérateur en micro électroniqu;Employé;False
1;RETRAITE;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;3;0;92;66;60-69 ans;2004;MUTUELLE DES MOTARDS;125;Quelques fois par semaine;4000;HONDA;Scooter;Garage individuel (ou box privatif);Pour les loisirs;200;RETRAITE;Retraité;True
1;Chef de Projet;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;2;0;91;54;50-59 ans;2018;MUTUELLE DES MOTARDS;1050;Quelques fois par mois;7000;TRIUMPH;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;Chef de Projet;Cadre;False
1;Photographe;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;69;53;50-59 ans;2001;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;5000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;Photographe;En recherche d emploi;False
1;Technicien recherche et format;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;44;61;60-69 ans;2015;MUTUELLE DES MOTARDS;1300;Tous les jours;13000;HONDA;Custom;Parking privé non clos;Pour les trajets domicile travail;300;Technicien recherche et format;Employé;True
1;electricien industriel;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;71;46;40-49 ans;2004;ALLIANZ;800;Quelques fois par semaine;8000;HONDA;Routière / GT;Parking privé clos;Pour les loisirs;?;electricien industriel;Ouvrier;True
1;animateur territorial;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;94;53;50-59 ans;1997;AMV (ASSURANCE MOTO VERTE);750;Quelques fois par semaine;6000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;2000;animateur territorial;Employé;False
1;sans;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;32;60;60-69 ans;2017;AMV (ASSURANCE MOTO VERTE);1200;Tous les jours;13000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;sans;Autre sans activité professionnelle (personne au foyer...);False
1;Agent eRDF;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;26;31;30-39 ans;2006;ALLIANZ;1000;Tous les jours;10000;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;600;Agent eDF;Employé;False
1;Technicien de Laboratoire;Non;Mise à jour;Non;En couple sans enfant;Homme;2;3;0;6;73;70 et plus;2017;GMF;900;Quelques fois par semaine;5000;TRIUMPH;Roadster;Garage collectif;Pour les loisirs;150;Technicien de Laboratoire;Retraité;False
1;employe administratif;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;86;35;30-39 ans;2016;MACIF;1800;Quelques fois par mois;6000;HARLEY-DAVIDSON;Custom;Garage individuel (ou box privatif);Pour les loisirs;0;employe administratif;Employé;True
1;chargée des opérations clients;Non;Mise à jour;Oui;Autre;Homme;3;1;0;44;34;30-39 ans;2003;MUTUELLE DES MOTARDS;600;Quelques fois par mois;4000;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;demandeur d emploi;En recherche d emploi;False
1;employe de maison;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;53;60;60-69 ans;1980;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;25000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;300;employe de maison;Employé;False
1;Technicien de maintenance;Non;Qualification initiale;Oui;Seul(e) avec enfants;Homme;3;1;2;26;43;40-49 ans;2001;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;9000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;Technicien de maintenance;Employé;False
1;Dirigeant d Entreprise;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;3;3;92;58;50-59 ans;2010;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;3000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;550;Dirigeant d Entreprise;Profession libérale et artistique;False
1;Officier de sécurité;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;3;1;60;52;50-59 ans;2006;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;10000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;160;cariste;Employé;False
1;retraité;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;73;62;60-69 ans;2012;MATMUT;1690;Quelques fois par mois;5000;HARLEY-DAVIDSON;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;350;retraité;Retraité;False
1;agent La Poste;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;78;55;50-59 ans;2018;MUTUELLE DES MOTARDS;1050;Tous les jours;9000;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;700;agent La Poste;Employé;False
1;Marin;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;2;0;83;38;30-39 ans;2011;AMV (ASSURANCE MOTO VERTE);700;Tous les jours;12000;Honda;Trail / Supermotard;Voie publique;Pour les trajets domicile travail;?;Marin;Employé;False
2;Responsable comptable;Non;Qualification initiale;Non;Seul(e) sans enfant;Femme;1;1;0;51;36;30-39 ans;2019;MACIF;125;Quelques fois par semaine;3000;KEEWAY;Roadster;Parking privé non clos;Pour les trajets domicile travail;?;Responsable comptable;Cadre;False
1;Gardien de police municipale;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;60;38;30-39 ans;2011;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;6000;APRILIA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Gardien de police municipale;Employé;False
1;responsable des opérations log;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;33;63;60-69 ans;2012;ASSURANCE CONSTRUCTEUR (BMW, HONDA, KAWASAKI...);1300;Quelques fois par mois;5000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Retraité;Retraité;False
1;Technicien;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;84;63;60-69 ans;2005;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;4000;HONDA;Custom;Garage individuel (ou box privatif);Pour les loisirs;1000;Technicien;Retraité;True
1;conducteur bus RATP;Non;?;Oui;En couple avec enfant(s);Homme;4;1;2;91;39;30-39 ans;2002;AMV (ASSURANCE MOTO VERTE);650;Tous les jours;15000;HONDA;Scooter;Parking privé clos;Pour les trajets domicile travail;300;conducteur bus RATP;Ouvrier;True
1;assistant comptable;Non;Mise à jour;Oui;Seul(e) avec enfants;Homme;2;1;1;31;53;50-59 ans;2006;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;10000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;assistant comptable;Profession intermédiaire;False
1;RESPONSABLE BUREAU D ETUDES;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;34;64;60-69 ans;2015;AXA;1300;Tous les jours;7000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1150;RESPONSABLE BUREAU D ETUDES;Cadre;False
1;Manager;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;13;47;40-49 ans;2013;AXA;675;Tous les jours;6500;TRIUMPH;Sportive;Parking privé clos;Pour les trajets domicile travail;?;Consultant informatique;Cadre;False
1;ide;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;78;54;50-59 ans;2012;MUTUELLE DES MOTARDS;700;Tous les jours;6000;HONDA;Scooter;Parking privé non clos;Pour les trajets domicile travail;100;ide;Employé;False
1;retraite;Non;Mise à jour;Non;En couple sans enfant;Homme;2;3;0;67;73;70 et plus;1999;MAIF;750;Quelques fois par semaine;3000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;50;retraite;Retraité;False
1;aucune;Non;Mise à jour;Non;En couple sans enfant;Homme;2;3;0;43;66;60-69 ans;2013;MACIF;1800;Quelques fois par mois;10000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;aucune;Retraité;False
1;Informaticien;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;5;3;13;55;50-59 ans;2013;MUTUELLE DES MOTARDS;1190;Tous les jours;12000;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;700;Informaticien;Cadre;False
1;fonctionnaire;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;78;51;50-59 ans;2005;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;HARLEY-DAVIDSON;Roadster;Garage individuel (ou box privatif);Pour les loisirs;750;fonctionnaire;Cadre;False
1;Ingénieur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;38;47;40-49 ans;1999;MUTUELLE DES MOTARDS;800;Quelques fois par mois;5000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1500;Ingénieur;Cadre;False
1;Chef de bureau Préfecture;Oui;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;26;37;30-39 ans;2017;MACIF;750;Tous les jours;6000;HARLEY-DAVIDSON;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;250;Chef de bureau Préfecture;Cadre;False
1;Postier;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;2;0;74;57;50-59 ans;2012;MACIF;1600;Quelques fois par semaine;15000;BMW;Routière / GT;Parking privé clos;Pour les loisirs;500;Postier;Employé;False
1;ingénieur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;92;64;60-69 ans;1999;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;6000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1200;ingénieur;Cadre;False
1;Agent territorial;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;65;60;60-69 ans;2006;GENERALI;1400;Quelques fois par an;2000;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Agent territorial;Ouvrier;False
1;technicien methodes;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;26;57;50-59 ans;2015;MACIF;1000;Tous les jours;12000;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;technicien methodes;Profession intermédiaire;True
1;Expert en technologie du SI;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;13;49;40-49 ans;2005;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;6000;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;700;Expert en technologie du SI;Cadre;False
1;Directeur Recherche et Dévelop;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;92;56;50-59 ans;2013;MUTUELLE DES MOTARDS;1600;Quelques fois par semaine;10000;BMW;Routière / GT;Garage collectif;Pour les trajets domicile travail;1000;Directeur Recherche et Dévelop;Cadre;False
2;fonctionnaire;Non;Qualification initiale;Non;Seul(e) avec enfants;Femme;2;3;1;76;45;40-49 ans;2003;MACIF;600;Quelques fois par semaine;8000;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;?;fonctionnaire;Employé;True
1;instituteur;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;35;62;60-69 ans;2017;CLUB 14;1200;Quelques fois par semaine;7000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;instituteur;Profession intermédiaire;False
1;Technicien;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;5;1;3;69;62;60-69 ans;1983;MUTUELLE DES MOTARDS;1300;Tous les jours;5000;KAWASAKI;Roadster;Garage collectif;Pour les loisirs;1000;Technicien;Cadre;True
1;Gérant de socièté;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;2;0;42;64;60-69 ans;2019;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Gérant de socièté;Retraité;False
1;Commercial;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;2;0;45;33;30-39 ans;2017;AUTRE;850;Quelques fois par semaine;6000;YAMAHA;Roadster;Parking privé clos;Pour les trajets domicile travail;200;Commercial;Employé;False
1;technicien audio visuel;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;21;66;60-69 ans;1996;MUTUELLE DES MOTARDS;900;Quelques fois par semaine;13000;YAMAHA;Routière / GT;Parking privé clos;Pour les trajets professionnels;?;technicien audio visuel;Retraité;False
1;Chargé d affaire et de projet;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;60;45;40-49 ans;2011;AUTRE;1600;Quelques fois par mois;5000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Chargé d affaire et de projet;Employé;False
1;cadre;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;69;66;60-69 ans;2019;MUTUELLE DES MOTARDS;1250;Quelques fois par semaine;8000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Retraité;Retraité;False
1;Retraité;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;46;65;60-69 ans;2010;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;12000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Retraité;Retraité;False
1;Administrateur de bases de don;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;69;63;60-69 ans;2016;MUTUELLE DES MOTARDS;1600;Tous les jours;10000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;Administrateur de bases de don;Profession intermédiaire;True
1;Animateur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;65;46;40-49 ans;1999;MUTUELLE DES MOTARDS;800;Tous les jours;6000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;Animateur;Profession intermédiaire;False
1;paysan;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;4;0;34;54;50-59 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15000;TRIUMPH;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;700;paysan;Agriculteur exploitant;False
1;consultant;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;91;63;60-69 ans;2003;MUTUELLE DES MOTARDS;1400;Tous les jours;56000;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;?;consultant;Profession libérale et artistique;True
1;Animateur commercial;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;11;3;95;58;50-59 ans;1992;MUTUELLE DES MOTARDS;750;Quelques fois par mois;500;KAWASAKI;Roadster;Garage collectif;Pour les loisirs;200;Animateur commercial;Cadre;False
1;Formateur vacataire;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;51;54;50-59 ans;2007;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;7000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Formateur vacataire;Profession intermédiaire;False
1;animateur piste education rout;Oui;Mise à jour;Non;Seul(e) avec enfants;Homme;2;5;1;49;58;50-59 ans;2008;MACIF;1200;Tous les jours;25000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;animateur piste education rout;Profession intermédiaire;True
1;technicien du spectacle;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;1;3;13;60;60-69 ans;2012;MUTUELLE DES MOTARDS;700;Tous les jours;7000;HONDA;Roadster;Garage collectif;Pour les trajets domicile travail;?;technicien du spectacle;Cadre;False
1;chef gerant;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;59;52;50-59 ans;2018;MAAF;300;Tous les jours;15000;Piaggo;Custom;Garage individuel (ou box privatif);Pour les trajets domicile travail;900;chef gerant;Profession intermédiaire;False
1;Technicien supérieur en acoust;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;76;37;30-39 ans;2001;MUTUELLE DES MOTARDS;955;Quelques fois par an;500;TRIUMPH;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;75;Technicien supérieur en acoust;Cadre;False
1;retraité;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;55;64;60-69 ans;2014;MAAF;1200;Quelques fois par semaine;10000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;500;retraité;Retraité;False
1;monteur structure aéronefs;Non;?;Non;En couple sans enfant;Homme;2;1;0;46;38;30-39 ans;2011;AMV (ASSURANCE MOTO VERTE);1000;Tous les jours;6000;HONDA;Roadster;?;Pour les trajets domicile travail;?;monteur structure aéronefs;Ouvrier;False
1;Chef de projet Informatique;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;92;36;30-39 ans;2008;MUTUELLE DES MOTARDS;1000;Tous les jours;15000;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;?;Chef de projet Informatique;Cadre;True
1;t;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;5;1;3;24;54;50-59 ans;2000;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;1500;APRILIA;Sportive;Autre;Pour les loisirs;?;ostéo;Profession libérale et artistique;True
1;Enseignant de la conduite;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;52;33;30-39 ans;2010;MUTUELLE DES MOTARDS;650;Quelques fois par mois;5000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Enseignant de la conduite;Employé;True
1;dessinateur d étude;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;37;58;50-59 ans;2014;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;9000;BMW;Routière / GT;Garage collectif;Pour les loisirs;1400;dessinateur d étude;Employé;False
1;medecin;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;2;0;78;61;60-69 ans;2019;MUTUELLE DES MOTARDS;1000;Tous les jours;7000;HONDA;Routière / GT;Parking privé clos;Pour les trajets domicile travail;?;medecin;Cadre;True
1;chef atelier automobile;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;4;1;38;44;40-49 ans;2010;AMV (ASSURANCE MOTO VERTE);125;Quelques fois par semaine;4000;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;chef atelier automobile;Cadre;True
1;projeteur automobile;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;1;3;54;44;40-49 ans;2014;AMV (ASSURANCE MOTO VERTE);1730;Quelques fois par mois;3000;VICTORY;Custom;Garage individuel (ou box privatif);Pour les loisirs;1000;projeteur automobile;Employé;False
1;agent SNCF;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;3;1;60;56;50-59 ans;2004;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;7500;VOXAN;Roadster;Garage individuel (ou box privatif);Pour les loisirs;350;agent SNCF;Employé;False
1;Ingénieur En Electronique;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;1;0;44;29;Moins de 30 ans;2009;AXA;650;Quelques fois par mois;5000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Ingénieur En Electronique;Cadre;False
1;superviseur en téléphonie mobi;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;69;61;60-69 ans;2016;MUTUELLE DES MOTARDS;650;Quelques fois par mois;4000;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;superviseur en téléphonie mobi;Employé;False
1;Pompier;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;93;62;60-69 ans;2007;MUTUELLE DES MOTARDS;1200;Tous les jours;12000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;Pompier;Employé;False
1;Retraité de l enseignement;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;25;67;60-69 ans;2014;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;12000;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1700;Retraité de l enseignement;Retraité;True
1;operateur;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;1;0;76;43;40-49 ans;2018;MUTUELLE DES MOTARDS;1400;Quelques fois par mois;8000;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;operateur;Employé;False
1;Retraité;Non;Qualification initiale;Non;Seul(e) sans enfant;Homme;1;1;0;13;66;60-69 ans;2013;AXA;1190;Quelques fois par semaine;6000;KTM;Scooter;Garage individuel (ou box privatif);Pour les loisirs;400;Retraité;Retraité;False
2;professeure de français;Non;Mise à jour;Oui;En couple avec enfant(s);Femme;4;2;2;73;43;40-49 ans;2000;MUTUELLE DES MOTARDS;600;Quelques fois par an;2500;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;professeure de français;Employé;False
1;agriculteur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;1;69;60-69 ans;2007;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;8000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;800;agriculteur;Retraité;False
1;retraité;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;59;63;60-69 ans;2014;AXA;1300;Quelques fois par mois;17000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;retraité;Retraité;False
1;technicien laboratoire;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;33;37;30-39 ans;2009;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;6000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Vérificateur foncier;Employé;True
1;gendarme;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;4;3;87;62;60-69 ans;1971;MUTUELLE DES MOTARDS;500;Quelques fois par mois;1000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;retaité;Retraité;False
1;Responsable Unité Informatique;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;4;2;34;63;60-69 ans;2011;MUTUELLE DES MOTARDS;800;Tous les jours;17000;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;600;Responsable Unité Informatique;Cadre;False
1;rertraité;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;95;64;60-69 ans;2019;MACIF;1200;Quelques fois par mois;7000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;rertraité;Retraité;False
1;Inspecteur de salubrité;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;44;55;50-59 ans;2019;AMF;1600;Tous les jours;12000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;600;Responsable Service Hygiène - Inspecteur de salubrité;Cadre;False
1;Chef de cuisine;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;80;34;30-39 ans;2018;AMV (ASSURANCE MOTO VERTE);1100;Quelques fois par semaine;3500;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Chef de cuisine;Employé;False
1;AGENT SNCF;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;1;3;50;53;50-59 ans;2016;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;11000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;AGENT SNCF;Employé;True
1;Chel de projet;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;1;1;94;56;50-59 ans;2018;MAAF;1200;Tous les jours;8000;BMW;Trail / Supermotard;Garage collectif;Pour les trajets domicile travail;500;Chel de projet;Cadre;False
1;Specialiste Supply Chain;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;3;0;38;55;50-59 ans;1995;MUTUELLE DES MOTARDS;500;Quelques fois par mois;2000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Specialiste Supply Chain;Employé;True
1;Ingenieur;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;67;56;50-59 ans;2002;MATMUT;1300;Quelques fois par mois;3500;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Ingenieur;Cadre;True
1;technicien;Non;?;Oui;En couple avec enfant(s);Homme;4;1;2;91;56;50-59 ans;2004;MUTUELLE DES MOTARDS;850;Tous les jours;6000;BMW;Routière / GT;?;Pour les trajets domicile travail;200;technicien;Cadre;False
1;Employé de Banque;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;1;1;64;54;50-59 ans;2013;GENERALI;1200;Quelques fois par semaine;15000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3000;Employé de Banque;Cadre;True
1;Fonctionnaire de Police;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;34;60;60-69 ans;2015;MATMUT;1200;Quelques fois par mois;5000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Fonctionnaire de Police;Retraité;False
1;ingénieur;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;3;0;59;60;60-69 ans;2000;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;3000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;800;ingénieur;Retraité;True
1;réalisateur;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;94;64;60-69 ans;2008;MUTUELLE DES MOTARDS;700;Tous les jours;8000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;réalisateur;Profession libérale et artistique;False
